Vendor,Model,Build,Extract 22.2,Extract 22.1,Build 22.2,Build 22.1,Ebay,rootable,SOC,GPU,Released,Conflict
Xiaomi,Mi_10T_5G,gauguin,fails,,,,,,Qualcomm SM7225 Snapdragon 750G 5G,,2020,
Xiaomi,MI_10,umi,fails,,fails,,250,,Qualcomm SM8250 Snapdragon 865,,2020,
Xiaomi,Mi_10_Pro,cmi,fails,,,,,,Qualcomm SM8250 Snapdragon 865,,2020,
Xiaomi,Mi_10T,apollon,fails,,fails,,100,,Qualcomm SM8250 Snapdragon 865,,2020,
Xiaomi,Poco_F2_Pro,lmi,fails,,,,,,Qualcomm SM8250 Snapdragon 865,,2020,
Xiaomi,Redmi_10S,rosemary,completes,,,,,,Mediatek MT6785 Helio G95,,2021,
Xiaomi,Redmi_Note_10_Pro,sweet,fails,,,,120,,Qualcomm SM7150-AC Snapdragon 732G,,2021,
Xiaomi,Mi_11_5G,lisa,completes,,,,150,,Qualcomm SM7325 Snapdragon 778G 5G,,2021,
Xiaomi,Mi_11_5G,renoir,completes,,,,,,Qualcomm SM7350-AB Snapdragon 780G 5G,,2021,
Xiaomi,Poco_X3_Pro,vayu,fails,,,,,,Qualcomm SM8150-AC Snapdragon 860,,2021,
Xiaomi,Mi_10S,thyme,completes,,,,,,Qualcomm SM8250-AC Snapdragon 870,,2021,
Xiaomi,Poco_F3,alioth,completes,,,,,,Qualcomm SM8250-AC Snapdragon 870,,2021,
Xiaomi,Mi_11I,haydn,completes,,,,,,Qualcomm SM8350 Snapdragon 888,,2021,
Xiaomi,Mi_12,cupid...,completes,,,,,,Qualcomm SM8450 Snapdragon 8 Gen1,,2021,
Xiaomi,Mi_12_Pro,zeus,completes,,,,,,Qualcomm SM8450 Snapdragon 8 Gen1,,2021,
Xiaomi,Poco_F4,munch,completes,,,,,,Qualcomm SM8250-AC Snapdragon 870,,2022,
Xiaomi,Mi_12S,mayfly,completes,,,,,,Qualcomm SM8475 Snapdragon 8+ Gen1,,2022,
Xiaomi,Mi_12S_Pro,unicorn,completes,,,,,,Qualcomm SM8475 Snapdragon 8+ Gen1,,2022,
Xiaomi,Mi_12S_Ultra,thor,completes,,,,,,Qualcomm SM8475 Snapdragon 8+ Gen1,,2022,
Xiaomi,Mi_12T_Pro,diting,completes,,,,,,Qualcomm SM8475 Snapdragon 8+ Gen1,,2022,
Xiaomi,Mi_Fold_2,zizhan,completes,,,,,,Qualcomm SM8475 Snapdragon 8+ Gen1,,2022,
Xiaomi,Mi_13,fuxi,completes,,,,,,Qualcomm SM8550 Snapdragon 8 Gen2,,2022,
Xiaomi,Mi_13_Pro,nuwa,completes,,,,,,Qualcomm SM8550 Snapdragon 8 Gen2,,2022,
Xiaomi,Redmi_K60_Pro,socrates,completes,,,,,,Qualcomm SM8550 Snapdragon 8 Gen2,,2022,
Xiaomi,Poco_12C,earth,completes,,,,,,Mediatek MT6768 Helio G85,,2023,
Xiaomi,Poco_F5,marble,completes,,,,,,Qualcomm SM7475-AB Snapdragon 7+ Gen 2,,2023,
Xiaomi,Poco_F5_Pro,mondrian,completes,,,,,,Qualcomm SM8475 Snapdragon 8+ Gen1,,2023,
,,,,,,,,,,,,
Fairphone,FP3,FP3,fails,,,,,,Qualcomm SDM632 Snapdragon 632,,2019,
Fairphone,FP4,FP4,completes,,fails,,500,,Qualcomm SM7225 Snapdragon 750G,,2021,
Fairphone,FP5,FP5,completes,,completes,,800,yes,Qualcomm QCM6490,,2023,
,,,,,,,,,,,,
Samsung,Galaxy_Tab_A_8.0,gtowifi,fails,,,,,,Qualcomm SDM429 Snapdragon 429,,2019,
